Name,Location,Phone,Search
Ministop -  Cư Xá Lữ Gia,"77B Đường số 2 Cư Xá Lữ Gia, Phường 15, Quận 11, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 6285,"Ministop -  Cư Xá Lữ Gia 77B Đường số 2 Cư Xá Lữ Gia, Phường 15, Quận 11, Thành phố Hồ Chí Minh."
Ministop -  Bệnh Viện Quân Y 175,"786 Nguyễn Kiệm, Phường 03, Quận Gò Vấp, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 2817,"Ministop -  Bệnh Viện Quân Y 175 786 Nguyễn Kiệm, Phường 03, Quận Gò Vấp, Thành phố Hồ Chí Minh."
Ministop -  Tân Kỳ Tân Quý 2,"446 Tân Kỳ Tân Quý, Phường Sơn Kỳ, Quận Tân Phú, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 8695,"Ministop -  Tân Kỳ Tân Quý 2 446 Tân Kỳ Tân Quý, Phường Sơn Kỳ, Quận Tân Phú, Thành phố Hồ Chí Minh."
Ministop -  One Verandah,"Cửa hàng thương mại số SH11 và SH12, Dự án One Verandah, số 02 đường Bát Nàn, Khu phố 01, Phường Thạnh Mỹ Lợi, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 7816,"Ministop -  One Verandah Cửa hàng thương mại số SH11 và SH12, Dự án One Verandah, số 02 đường Bát Nàn, Khu phố 01, Phường Thạnh Mỹ Lợi, Thành phố Thủ Đức, Thành phố Hồ Chí Minh."
Ministop -  Đường số 01,"107 Đường số 01, Phường 11, Quận Gò Vấp, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 6390,"Ministop -  Đường số 01 107 Đường số 01, Phường 11, Quận Gò Vấp, Thành phố Hồ Chí Minh."
Ministop -  Âu Cơ 3,"5/7A Âu Cơ, Phường 09, Quận Tân Bình, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 7917,"Ministop -  Âu Cơ 3 5/7A Âu Cơ, Phường 09, Quận Tân Bình, Thành phố Hồ Chí Minh."
Ministop -  Vườn Lài 3,"221/40 Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 7927,"Ministop -  Vườn Lài 3 221/40 Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú, Thành phố Hồ Chí Minh."
Ministop -  Lý Tự Trọng 2,"101A Lý Tự Trọng, Phường Bến Thành, Quận 01, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 7827,"Ministop -  Lý Tự Trọng 2 101A Lý Tự Trọng, Phường Bến Thành, Quận 01, Thành phố Hồ Chí Minh."
Ministop -  Thạch Thị Thanh,"55 Thạch Thị Thanh, Phường Tân Định, Quận 01, Thành phố Hồ Chí Minh",Số điện thoại: (028) 3535 8719,"Ministop -  Thạch Thị Thanh 55 Thạch Thị Thanh, Phường Tân Định, Quận 01, Thành phố Hồ Chí Minh"
Ministop -  Nguyễn Văn Khối,"220/82 Nguyễn Văn Khối, Phường 8, Quận Gò Vấp, Thành phố Hồ Chí Minh",Số điện thoại: (028) 35357819,"Ministop -  Nguyễn Văn Khối 220/82 Nguyễn Văn Khối, Phường 8, Quận Gò Vấp, Thành phố Hồ Chí Minh"
Ministop -  Lý Thánh Tông,"46 Lý Thánh Tông, Phường Hiệp Tân, Quận Tân Phú, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 9817,"Ministop -  Lý Thánh Tông 46 Lý Thánh Tông, Phường Hiệp Tân, Quận Tân Phú, Thành phố Hồ Chí Minh."
Ministop -  Đường số 28,"143 Đường số 28, Phường 6, Quận Gò Vấp, Thành phố Hồ Chí Minh",Số điện thoại: (028) 3535 7607,"Ministop -  Đường số 28 143 Đường số 28, Phường 6, Quận Gò Vấp, Thành phố Hồ Chí Minh"
Ministop -  Đường số 59,"83 Đường số 59, Phường 14, Quận Gò Vấp, Thành phố Hồ Chí Minh",Số điện thoại: (028) 3535 2965,"Ministop -  Đường số 59 83 Đường số 59, Phường 14, Quận Gò Vấp, Thành phố Hồ Chí Minh"
Ministop -  Huỳnh Văn Nghệ,"96 Huỳnh Văn Nghệ, Phường 15 Quận Tân Bình, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 9976,"Ministop -  Huỳnh Văn Nghệ 96 Huỳnh Văn Nghệ, Phường 15 Quận Tân Bình, Thành phố Hồ Chí Minh."
Ministop -  Thạch Lam 2,"280 Thạch Lam, Phường Phú Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 9529,"Ministop -  Thạch Lam 2 280 Thạch Lam, Phường Phú Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh."
Ministop -  Trịnh Đình Trọng 2,"270A - 272 Trịnh Đình Trọng, Phường Phú Trung, Quận Tân Phú, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 9985,"Ministop -  Trịnh Đình Trọng 2 270A - 272 Trịnh Đình Trọng, Phường Phú Trung, Quận Tân Phú, Thành phố Hồ Chí Minh."
Ministop -  Bùi Quang Là,"92 – 94 Bùi Quang Là, Phường 12, Quận Gò Vấp, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 6718,"Ministop -  Bùi Quang Là 92 – 94 Bùi Quang Là, Phường 12, Quận Gò Vấp, Thành phố Hồ Chí Minh."
Ministop -  Topaz City,"Lô thương mại dịch vụ B1 tầng 1, Chung cư Topaz City - 39 Cao Lỗ, Phường 04, Quận 08, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 8677,"Ministop -  Topaz City Lô thương mại dịch vụ B1 tầng 1, Chung cư Topaz City - 39 Cao Lỗ, Phường 04, Quận 08, Thành phố Hồ Chí Minh."
Ministop -  Bàu Cát,"307A – 307B – 307C Bàu Cát, Phường 12, Quận Tân Bình, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 9049,"Ministop -  Bàu Cát 307A – 307B – 307C Bàu Cát, Phường 12, Quận Tân Bình, Thành phố Hồ Chí Minh."
Ministop -  Tân Kỳ Tân Quý,"293B – 293C Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Quận Tân Phú, Thành phố Hồ Chí Minh",Số điện thoại: (028) 3535 5980,"Ministop -  Tân Kỳ Tân Quý 293B – 293C Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Quận Tân Phú, Thành phố Hồ Chí Minh"
Ministop -  Phạm Văn Chí,"220 Phạm Văn Chí, Phường 1, Quận 06, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 3427,"Ministop -  Phạm Văn Chí 220 Phạm Văn Chí, Phường 1, Quận 06, Thành phố Hồ Chí Minh."
Ministop -  Đường số 10,"86 – 88 Đường số 10, Phường 13, Quận 06, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 1590,"Ministop -  Đường số 10 86 – 88 Đường số 10, Phường 13, Quận 06, Thành phố Hồ Chí Minh."
Ministop -  Thạch Lam,"113 Thạch Lam, Phường Hiệp Tân, Quận Tân Phú, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 3498,"Ministop -  Thạch Lam 113 Thạch Lam, Phường Hiệp Tân, Quận Tân Phú, Thành phố Hồ Chí Minh."
Ministop -  Water Point,"Tầng trệt gian hàng số 02, Trạm xe buýt và khu thương mại dịch vụ thuộc Lô MC5 thuộc khu đô thị mới Vàm Cỏ Đông, Xã An Thạnh, Huyện Bến Lức, Tỉnh Long An.",Số điện thoại: (028) 0916180127,"Ministop -  Water Point Tầng trệt gian hàng số 02, Trạm xe buýt và khu thương mại dịch vụ thuộc Lô MC5 thuộc khu đô thị mới Vàm Cỏ Đông, Xã An Thạnh, Huyện Bến Lức, Tỉnh Long An."
Ministop -  Akari City,"AK5-00.01 Akari City, 77 Võ Văn Kiệt P.An Lạc, Q.Bình Tân, TP.HCM",Số điện thoại: (028) 3535 9478,"Ministop -  Akari City AK5-00.01 Akari City, 77 Võ Văn Kiệt P.An Lạc, Q.Bình Tân, TP.HCM"
Ministop -  Đường số 6,"165 Đường số 6, Phường Bình Trị Đông B, Quận Bình Tân, TP. HCM",Số điện thoại: (028) 3535 7967,"Ministop -  Đường số 6 165 Đường số 6, Phường Bình Trị Đông B, Quận Bình Tân, TP. HCM"
Ministop -  Vũ Tùng 2,"135 - 137 Vũ Tùng, Phường 2, Quận Bình Thạnh, TPHCM",Số điện thoại: (028) 3535 8575,"Ministop -  Vũ Tùng 2 135 - 137 Vũ Tùng, Phường 2, Quận Bình Thạnh, TPHCM"
Ministop -  Thống Nhất,"141 Thống Nhất, Phường Tân Thành, Quận Tân Phú, TPHCM",Số điện thoại: (028) 3535 8667,"Ministop -  Thống Nhất 141 Thống Nhất, Phường Tân Thành, Quận Tân Phú, TPHCM"
Ministop -  Lê Đức Thọ,527 Lê Đức Thọ P.16 Q.Gò Vấp,Số điện thoại: (028) 3535 5827,Ministop -  Lê Đức Thọ 527 Lê Đức Thọ P.16 Q.Gò Vấp
Ministop -  Tô Hiệu,"57K Tô Hiệu, P.Hiệp Tân, Q.Tân Phú",Số điện thoại: (028) 3535 3317,"Ministop -  Tô Hiệu 57K Tô Hiệu, P.Hiệp Tân, Q.Tân Phú"
Ministop -  Võ Thành Trang,"120 - 122 Võ Thành Trang, Phường 11, Quận Tân Bình, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3636 5586,"Ministop -  Võ Thành Trang 120 - 122 Võ Thành Trang, Phường 11, Quận Tân Bình, Thành phố Hồ Chí Minh."
Ministop -  Tôn Thất Hiệp,"282 - 284 Tôn Thất Hiệp, Phường 8, Quận 11, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3636 1876,"Ministop -  Tôn Thất Hiệp 282 - 284 Tôn Thất Hiệp, Phường 8, Quận 11, Thành phố Hồ Chí Minh."
